"Numéro FINESS","SIREN","Raison sociale","Complément distribution","Adresse","Lieudit/BP","Code postal","Libelle routage","Tel","Fax","Compl distr public","Adresse public","Lieudit/BP public","Code postal public","Routage public","Tel public","Fax public","Date ouvert","Code categorie","Lib categorie","Code statut","Lib statut","Code tarif","Lib tarif","Code PSPH","Lib PSPH","FINESS juridique","SAN:","Activite1","Modalité1","Forme1","Activite2","Modalité2","Forme2","Activite3","Modalité3","Forme3","Activite4","Modalité4","Forme4","Activite5","Modalité5","Forme5","Activite6","Modalité6","Forme6","Activite7","Modalité7","Forme7","Activite8","Modalité8","Forme8","Activite9","Modalité9","Forme9","Activite10","Modalité10","Forme10","Activite11","Modalité11","Forme11","Activite12","Modalité12","Forme12","Activite13","Modalité13","Forme13","Activite14","Modalité14","Forme14","Activite15","Modalité15","Forme15","Activite16","Modalité16","Forme16","Activite17","Modalité17","Forme17","Activite18","Modalité18","Forme18","Activite19","Modalité19","Forme19","Activite20","Modalité20","Forme20","Activite21","Modalité21","Forme21","Activite22","Modalité22","Forme22","Activite23","Modalité23","Forme23","Activite24","Modalité24","Forme24","Activite25","Modalité25","Forme25","EML:","Code1","Equipement1","Code2","Equipement2","Code3","Equipement3","Code4","Equipement4","Code5","Equipement5","Code6","Equipement6",,,,,,,,,,,,,,,,,
670000181,"266 700 210 00013","CMLS DE SARRE UNION",,"23 RUE DU MARECHAL FOCH",,67260,"SARRE UNION","03 88 01 13 13 ","03 88 00 35 77",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780360,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Soins de suite","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000215,,"HOPITAL DU NEUENBERG",,"38 RUE DU PASTEUR HERRMANN",,67340,"INGWILLER","03 88 71 70 00 ",,,,,,,,,,365,"Etablissement de Soins Pluridisciplinaire",63,"Fondation",4,"ARH établissements PSPH Dotation globale",2,"PSPH par intégration         ",680000643,,"Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000249,"775 642 051 00038","CTRE DE POST-CURE CHATEAU WALK",,"40 RUE DU DEPUTE  HALLEZ",,67500,"HAGUENAU","03 88 93 22 88 ","03 88 93 27 26",,,,,,,,,431,"Centre Postcure pour Alcooliques",62,"Ass. de Droit Local",4,"ARH établissements PSPH Dotation globale",2,"PSPH par intégration         ",670780493,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000272,"266 700 582 00015","CH DE WISSEMBOURG",,"24 ROUTE WEILER",,67166,"WISSEMBOURG CEDEX","03 88 54 11 11 ","03 88 54 11 12",,,,,,,,,355,"Centre Hospitalier (C.H.)",14,"Etb.Pub.Intercom.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780543,,"Rééducation et réadaptation fonctionnelle","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine d'urgence","SMUR Générale","Non saisonnier","Médecine d'urgence","SMU générale","Pas de forme","Rééducation et réadaptation fonctionnelle","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"Scanographe",,,,,,,,,,,,,,,,,,,,,,,,
670000280,"778 871 806 00015","MAISON DE REPOS HOME ST JOSEPH",,"39 RUE BALLERICH",,67440,"THAL MARMOUTIER","03 88 91 22 40 ","03 88 71 03 80",,,,,,,,,108,"Etablissement de Convalescence et de Repos",62,"Ass. de Droit Local",4,"ARH établissements PSPH Dotation globale",2,"PSPH par intégration         ",670780568,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000306,"266 700 046 00011","CENTRE HOSPITALIER DÉPARTEMENTAL",,"17 ROUTE DE STRASBOURG","BP 7",67241,"BISCHWILLER CEDEX","03 88 80 22 22 ","03 88 80 22 65",,,,,,,,,355,"Centre Hospitalier (C.H.)",11,"Etb.Pub.Départ.d'Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780584,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000322,"200 002 079 00016","HL DE BENFELD",,"1 RUE DE L'HOPITAL",,67230,"BENFELD","03 88 74 41 00 ",,,,,,,,,,106,"Hôpital Local",14,"Etb.Pub.Intercom.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670013713,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000348,"266 700 152 00017","HÔPITAL DE   MOLSHEIM",,"1 COUR DES CHARTREUX",,67120,"MOLSHEIM","03 88 49 70 70 ","03 88 49 70 73",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780642,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Soins de suite","Pas de modalité","Hospitalisation à temps partiel ou ambulatoire (moins de 24 heures consécutives de jour ou de nuit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000355,"266 700 160 00010","HÔPITAL MARQUAIRE DE MUTZIG",,"3 RUE DE L'HOPITAL","BP 31",67190,"MUTZIG","03 88 38 13 76 ","03 88 49 82 95",,,,,,,,,106,"Hôpital Local",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780659,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000371,"266 700 194 00019","HOPITAL DE ROSHEIM",,"14 RUE DU GENERAL DE GAULLE",,67560,"ROSHEIM","03 88 50 40 50 ","03 88 50 23 17",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780675,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000389,"266 700 293 00019","HOP - CTRE LONG MOYEN SEJ WASSELONNE",,"4 RUE DE L'HOPITAL","BP 22",67318,"WASSELONNE CEDEX","03 88 59 12 59 ","03 88 59 12 49",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780683,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000397,"266 700 244 00012","CENTRE HOSPITALIER DE SELESTAT",,"23 AVENUE LOUIS PASTEUR","BP 216",67604,"SELESTAT CEDEX","03 88 57 56 00 ","03 88 57 55 56",,"23 AVENUE LOUIS PASTEUR","BP 216",67604,"SELESTAT CEDEX","03 88 57 56 00 ","03 88 57 55 56",,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780691,,"Médecine d'urgence","SMU générale","Pas de forme","Réanimation","Adulte","Pas de forme","Médecine d'urgence","SMUR Générale","Non saisonnier","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Néonatologie sans soins intensifs","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Chirurgie ambulatoire","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"Scanographe",,,,,,,,,,,,,,,,,,,,,
670000405,"266 700 178 00012","HOPITAL CIVIL D'OBERNAI",,"1 REMPART MONSEIGNEUR CASPAR",,67211,"OBERNAI CEDEX","03 88 95 14 00 ","03 88 95 51 15",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780709,,"#NOM ?"," obstétrique"," néonatologie"," réanimation néonatale""","Gynécologie obstétrique","Hospitalisation complète (24 heures consécutives ou plus)","Chirurgie","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)","Médecine","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000413,"266 700 103 00010","C.M.L.S. D'ERSTEIN",,"8 RUE BRULEE","BP 26",67151,"ERSTEIN CEDEX","03 88 64 66 46 ","03 88 64 66 49",,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780717,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000421,"266 700 012 00013","HOPITAL MARCEL KRIEG",,"11 AVENUE DR MARCEL KRIEG","BP 40083",67142,"BARR CEDEX","03 88 08 92 00 ",,,,,,,,,,355,"Centre Hospitalier (C.H.)",13,"Etb.Pub.Commun.Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670780725,,"Soins de suite","Pas de modalité","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000603,"266 700 319 00012","CH D'ERSTEIN",,"13 ROUTE DE KRAFFT",,67152,"ERSTEIN CEDEX","03 90 64 20 00 ","03 90 64 21 75",,,,,,,,,292,"Centre Hospitalier Spécialisé lutte Maladies Mentales",11,"Etb.Pub.Départ.d'Hospit.",3,"ARH établissements Publics de santé dotation globale",1,"Etablissement public de santé",670781152,,"Psychiatrie","Générale","Hospitalisation complète (24 heures consécutives ou plus)","Psychiatrie","Infanto-juvénile","Hospitalisation à temps partiel de jour","Psychiatrie","Générale","Hospitalisation à temps partiel de jour","Psychiatrie","Générale","Hospitalisation à temps partiel de nuit","Psychiatrie","Infanto-juvénile","Hospitalisation complète (24 heures consécutives ou plus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670002104,"399 293 216 00012","GIE CTRE IMAGERIE MEDICALE INTERHOSP",,"3 RUE PORTE DE L'HOPITAL",,67000,"STRASBOURG","03 88 25 24 08 ",,,,,,,,,,698,"Autre Etablissement Loi Hospitalière",76,"Groupement Intérêt Economique",1,"Etablissement Tarif Libre",0,"non PSPH                     ",670002096,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670002179,,"PHARMACIE DU SCHLOESSEL",,"3 ROUTE DE BISCHWILLER",,67500,"HAGUENAU","03 88 05 48 84 ","03 88 05 48 83",,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670002138,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
